'Elapsed time','ECG'
'0:01.516',-0.065
'0:01.523',-0.065
'0:01.531',-0.045
'0:01.539',-0.035
'0:01.547',-0.035
'0:01.555',-0.015
'0:01.563',0.015
'0:01.570',0.025
'0:01.578',0.045
'0:01.586',0.085
'0:01.594',0.095
'0:01.602',0.175
'0:01.609',0.205
'0:01.617',0.215
'0:01.625',0.245
'0:01.633',0.275
'0:01.641',0.265
'0:01.648',0.255
'0:01.656',0.245
'0:01.664',0.185
'0:01.672',0.135
'0:01.680',0.055
'0:01.688',0.015
'0:01.695',-0.055
'0:01.703',-0.095
'0:01.711',-0.125
'0:01.719',-0.135
'0:01.727',-0.165
'0:01.734',-0.165
'0:01.742',-0.165
'0:01.750',-0.175
'0:01.758',-0.165
'0:01.766',-0.185
'0:01.773',-0.185
'0:01.781',-0.175
'0:01.789',-0.165
'0:01.797',-0.155
'0:01.805',-0.155
'0:01.813',-0.165
'0:01.820',-0.135
'0:01.828',-0.155
'0:01.836',-0.125
'0:01.844',-0.125
'0:01.852',-0.115
'0:01.859',-0.115
'0:01.867',-0.135
'0:01.875',-0.105
'0:01.883',-0.115
'0:01.891',-0.125
'0:01.898',-0.125
'0:01.906',-0.105
'0:01.914',-0.115
'0:01.922',-0.105
'0:01.930',-0.125
'0:01.938',-0.105
'0:01.945',-0.105
'0:01.953',-0.125
'0:01.961',-0.125
'0:01.969',-0.105
'0:01.977',-0.115
'0:01.984',-0.115
'0:01.992',-0.125
'0:02.000',-0.115
'0:02.008',-0.115
'0:02.016',-0.125
'0:02.023',-0.115
'0:02.031',-0.115
'0:02.039',-0.125
'0:02.047',-0.115
'0:02.055',-0.125
'0:02.063',-0.095
'0:02.070',-0.115
'0:02.078',-0.115
'0:02.086',-0.105
'0:02.094',-0.135
'0:02.102',-0.115
'0:02.109',-0.105
'0:02.117',-0.105
'0:02.125',-0.115
'0:02.133',-0.115
'0:02.141',-0.115
'0:02.148',-0.105
'0:02.156',-0.105
'0:02.164',-0.135
'0:02.172',-0.085
'0:02.180',-0.085
'0:02.188',-0.085
'0:02.195',-0.105
'0:02.203',-0.105
'0:02.211',-0.095
'0:02.219',-0.085
'0:02.227',-0.105
'0:02.234',-0.095
'0:02.242',-0.095
'0:02.250',-0.095
'0:02.258',-0.085
'0:02.266',-0.105
'0:02.273',-0.085
'0:02.281',-0.085
'0:02.289',-0.095
'0:02.297',-0.075
'0:02.305',-0.085
'0:02.313',-0.085
'0:02.320',-0.085
'0:02.328',-0.085
'0:02.336',-0.085
'0:02.344',-0.075
'0:02.352',-0.085
'0:02.359',-0.075
'0:02.367',-0.075
'0:02.375',-0.065
'0:02.383',-0.065
'0:02.391',-0.075
'0:02.398',-0.075
'0:02.406',-0.025
'0:02.414',-0.025
'0:02.422',-0.065
'0:02.430',-0.055
'0:02.438',-0.065
'0:02.445',-0.055
'0:02.453',-0.075
'0:02.461',-0.055
'0:02.469',-0.045
'0:02.477',-0.065
'0:02.484',-0.055
'0:02.492',-0.055
'0:02.500',-0.065
'0:02.508',-0.085
'0:02.516',-0.105
'0:02.523',-0.075
'0:02.531',-0.045
'0:02.539',-0.045
'0:02.547',-0.045
'0:02.555',-0.045
'0:02.563',-0.075
'0:02.570',0.065
'0:02.578',0.355
'0:02.586',0.985
'0:02.594',1.355
'0:02.602',1.305
'0:02.609',0.785
'0:02.617',0.145
'0:02.625',-0.495
'0:02.633',-0.455
'0:02.641',-0.435
'0:02.648',-0.445
'0:02.656',-0.465
'0:02.664',-0.395
'0:02.672',-0.265
'0:02.680',-0.115
'0:02.688',-0.095
'0:02.695',-0.105
'0:02.703',-0.115
'0:02.711',-0.095
'0:02.719',-0.085
'0:02.727',-0.075
'0:02.734',-0.095
'0:02.742',-0.075
'0:02.750',-0.075
'0:02.758',-0.075
'0:02.766',-0.075
'0:02.773',-0.065
'0:02.781',-0.055
'0:02.789',-0.055
'0:02.797',-0.055
'0:02.805',-0.045
'0:02.813',-0.055
'0:02.820',-0.025
'0:02.828',-0.035
'0:02.836',-0.015
'0:02.844',-0.015
'0:02.852',-0.005
'0:02.859',0.015
'0:02.867',0.035
'0:02.875',0.035
'0:02.883',0.065
'0:02.891',0.085
'0:02.898',0.115
'0:02.906',0.155
'0:02.914',0.185
'0:02.922',0.225
'0:02.930',0.255
'0:02.938',0.275
'0:02.945',0.305
'0:02.953',0.305
'0:02.961',0.325
'0:02.969',0.295
'0:02.977',0.275
'0:02.984',0.225
'0:02.992',0.175
'0:03.000',0.075
'0:03.008',0.035
'0:03.016',-0.025
'0:03.023',-0.055
'0:03.031',-0.075
'0:03.039',-0.115
'0:03.047',-0.135
'0:03.055',-0.135
'0:03.063',-0.135
'0:03.070',-0.145
'0:03.078',-0.155
'0:03.086',-0.155
'0:03.094',-0.135
'0:03.102',-0.145
'0:03.109',-0.135
'0:03.117',-0.135
'0:03.125',-0.145
'0:03.133',-0.115
'0:03.141',-0.135
'0:03.148',-0.115
'0:03.156',-0.095
'0:03.164',-0.095
'0:03.172',-0.085
'0:03.180',-0.085
'0:03.188',-0.075
'0:03.195',-0.085
'0:03.203',-0.085
'0:03.211',-0.075
'0:03.219',-0.075
'0:03.227',-0.065
'0:03.234',-0.095
'0:03.242',-0.065
'0:03.250',-0.075
'0:03.258',-0.065
'0:03.266',-0.085
'0:03.273',-0.085
'0:03.281',-0.085
'0:03.289',-0.075
'0:03.297',-0.085
'0:03.305',-0.095
'0:03.313',-0.095
'0:03.320',-0.105
'0:03.328',-0.085
'0:03.336',-0.095
'0:03.344',-0.085
'0:03.352',-0.095
'0:03.359',-0.105
'0:03.367',-0.085
'0:03.375',-0.085
'0:03.383',-0.075
'0:03.391',-0.105
'0:03.398',-0.105
'0:03.406',-0.095
'0:03.414',-0.085
'0:03.422',-0.095
'0:03.430',-0.095
'0:03.438',-0.105
'0:03.445',-0.085
'0:03.453',-0.095
'0:03.461',-0.095
'0:03.469',-0.105
'0:03.477',-0.085
'0:03.484',-0.085
'0:03.492',-0.085
'0:03.500',-0.105
'0:03.508',-0.085
'0:03.516',-0.095
'0:03.523',-0.115
'0:03.531',-0.075
'0:03.539',-0.085
'0:03.547',-0.095
'0:03.555',-0.075
'0:03.563',-0.075
'0:03.570',-0.075
'0:03.578',-0.095
'0:03.586',-0.085
'0:03.594',-0.085
'0:03.602',-0.095
'0:03.609',-0.085
'0:03.617',-0.085
'0:03.625',-0.095
'0:03.633',-0.085
'0:03.641',-0.085
'0:03.648',-0.085
'0:03.656',-0.065
'0:03.664',-0.085
'0:03.672',-0.075
'0:03.680',-0.085
'0:03.688',-0.065
'0:03.695',-0.075
'0:03.703',-0.075
'0:03.711',-0.055
'0:03.719',-0.065
'0:03.727',-0.085
'0:03.734',-0.035
'0:03.742',-0.075
'0:03.750',-0.085
'0:03.758',-0.085
'0:03.766',-0.065
'0:03.773',-0.055
'0:03.781',-0.075
'0:03.789',-0.075
'0:03.797',-0.055
'0:03.805',-0.075
'0:03.813',-0.095
'0:03.820',-0.085
'0:03.828',-0.095
'0:03.836',-0.085
'0:03.844',-0.075
'0:03.852',-0.105
'0:03.859',-0.045
'0:03.867',-0.075
'0:03.875',0.035
'0:03.883',0.335
'0:03.891',0.970
'0:03.898',1.425
'0:03.906',1.325
'0:03.914',0.685
'0:03.922',0.045
'0:03.930',-0.575
'0:03.938',-0.495
'0:03.945',-0.485
'0:03.953',-0.515
'0:03.961',-0.515
'0:03.969',-0.405
'0:03.977',-0.245
'0:03.984',-0.135
'0:03.992',-0.125
'0:04.000',-0.145
'0:04.008',-0.145
'0:04.016',-0.135
'0:04.023',-0.125
'0:04.031',-0.115
'0:04.039',-0.125
'0:04.047',-0.115
'0:04.055',-0.115
'0:04.063',-0.105
'0:04.070',-0.085
'0:04.078',-0.105
'0:04.086',-0.095
'0:04.094',-0.085
'0:04.102',-0.085
'0:04.109',-0.085
'0:04.117',-0.085
'0:04.125',-0.075
'0:04.133',-0.055
'0:04.141',-0.075
'0:04.148',-0.055
'0:04.156',-0.025
'0:04.164',-0.025
'0:04.172',-0.005
'0:04.180',0.015
'0:04.188',0.065
'0:04.195',0.075
'0:04.203',0.105
'0:04.211',0.125
'0:04.219',0.175
'0:04.227',0.205
'0:04.234',0.245
'0:04.242',0.255
'0:04.250',0.275
'0:04.258',0.285
'0:04.266',0.285
'0:04.273',0.275
'0:04.281',0.225
'0:04.289',0.165
'0:04.297',0.095
'0:04.305',0.025
'0:04.313',-0.025
'0:04.320',-0.055
'0:04.328',-0.105
'0:04.336',-0.145
'0:04.344',-0.155
'0:04.352',-0.165
'0:04.359',-0.165
'0:04.367',-0.185
'0:04.375',-0.185
'0:04.383',-0.175
'0:04.391',-0.195
'0:04.398',-0.175
'0:04.406',-0.185
'0:04.414',-0.185
'0:04.422',-0.185
'0:04.430',-0.165
'0:04.438',-0.155
'0:04.445',-0.155
'0:04.453',-0.165
'0:04.461',-0.135
'0:04.469',-0.155
'0:04.477',-0.125
'0:04.484',-0.105
'0:04.492',-0.115
'0:04.500',-0.115
'0:04.508',-0.105
'0:04.516',-0.115
'0:04.523',-0.095
'0:04.531',-0.115
'0:04.539',-0.115
'0:04.547',-0.105
'0:04.555',-0.115
'0:04.563',-0.125
'0:04.570',-0.115
'0:04.578',-0.125
'0:04.586',-0.125
'0:04.594',-0.115
'0:04.602',-0.115
'0:04.609',-0.115
'0:04.617',-0.125
'0:04.625',-0.125
'0:04.633',-0.135
'0:04.641',-0.115
'0:04.648',-0.115
'0:04.656',-0.115
'0:04.664',-0.125
'0:04.672',-0.115
'0:04.680',-0.115
'0:04.688',-0.115
'0:04.695',-0.125
'0:04.703',-0.105
'0:04.711',-0.115
'0:04.719',-0.105
'0:04.727',-0.115
'0:04.734',-0.125
'0:04.742',-0.105
'0:04.750',-0.115
'0:04.758',-0.105
'0:04.766',-0.105
'0:04.773',-0.095
'0:04.781',-0.095
'0:04.789',-0.105
'0:04.797',-0.105
'0:04.805',-0.095
'0:04.813',-0.105
'0:04.820',-0.105
'0:04.828',-0.105
'0:04.836',-0.115
'0:04.844',-0.095
'0:04.852',-0.085
'0:04.859',-0.095
'0:04.867',-0.085
'0:04.875',-0.085
'0:04.883',-0.095
'0:04.891',-0.105
'0:04.898',-0.095
'0:04.906',-0.085
'0:04.914',-0.095
'0:04.922',-0.075
'0:04.930',-0.065
'0:04.938',-0.085
'0:04.945',-0.095
'0:04.953',-0.095
'0:04.961',-0.075
'0:04.969',-0.065
'0:04.977',-0.075
'0:04.984',-0.085
'0:04.992',-0.075
'0:05.000',-0.065
'0:05.008',-0.065
'0:05.016',-0.065
'0:05.023',-0.055
'0:05.031',-0.035
'0:05.039',-0.065
'0:05.047',-0.035
'0:05.055',-0.045
'0:05.063',-0.045
'0:05.070',-0.065
'0:05.078',-0.065
'0:05.086',-0.055
'0:05.094',-0.045
'0:05.102',-0.055
'0:05.109',-0.045
'0:05.117',-0.055
'0:05.125',-0.055
'0:05.133',-0.085
'0:05.141',-0.075
'0:05.148',-0.065
'0:05.156',-0.055
'0:05.164',-0.075
'0:05.172',-0.025
'0:05.180',-0.045
'0:05.188',-0.065
'0:05.195',0.035
'0:05.203',0.295
'0:05.211',0.930
'0:05.219',1.405
'0:05.227',1.385
'0:05.234',0.815
'0:05.242',0.175
'0:05.250',-0.465
'0:05.258',-0.475
'0:05.266',-0.475
'0:05.273',-0.465
'0:05.281',-0.545
'0:05.289',-0.435
'0:05.297',-0.265
'0:05.305',-0.115
'0:05.313',-0.105
'0:05.320',-0.105
'0:05.328',-0.105
'0:05.336',-0.085
'0:05.344',-0.095
'0:05.352',-0.095
'0:05.359',-0.075
'0:05.367',-0.075
'0:05.375',-0.065
'0:05.383',-0.065
'0:05.391',-0.065
'0:05.398',-0.075
'0:05.406',-0.055
'0:05.414',-0.065
'0:05.422',-0.045
'0:05.430',-0.035
'0:05.438',-0.035
'0:05.445',-0.035
'0:05.453',-0.025
'0:05.461',-0.015
'0:05.469',-0.015
'0:05.477',0.005
'0:05.484',0.005
'0:05.492',0.025
'0:05.500',0.045
'0:05.508',0.075
'0:05.516',0.105
'0:05.523',0.125
'0:05.531',0.165
'0:05.539',0.195
'0:05.547',0.225
'0:05.555',0.255
'0:05.563',0.275
'0:05.570',0.305
'0:05.578',0.305
'0:05.586',0.305
'0:05.594',0.295
'0:05.602',0.225
'0:05.609',0.195
'0:05.617',0.135
'0:05.625',0.065
'0:05.633',0.005
'0:05.641',-0.045
'0:05.648',-0.075
'0:05.656',-0.105
'0:05.664',-0.115
'0:05.672',-0.115
'0:05.680',-0.135
'0:05.688',-0.125
'0:05.695',-0.135
'0:05.703',-0.145
'0:05.711',-0.145
'0:05.719',-0.145
'0:05.727',-0.125
'0:05.734',-0.115
'0:05.742',-0.115
'0:05.750',-0.105
'0:05.758',-0.125
'0:05.766',-0.135
'0:05.773',-0.115
'0:05.781',-0.095
'0:05.789',-0.085
'0:05.797',-0.085
'0:05.805',-0.065
'0:05.813',-0.075
'0:05.820',-0.075
'0:05.828',-0.085
'0:05.836',-0.075
'0:05.844',-0.085
'0:05.852',-0.055
'0:05.859',-0.065
'0:05.867',-0.075
'0:05.875',-0.075
'0:05.883',-0.095
'0:05.891',-0.085
'0:05.898',-0.085
'0:05.906',-0.095
'0:05.914',-0.075
'0:05.922',-0.075
'0:05.930',-0.085
'0:05.938',-0.085
'0:05.945',-0.095
'0:05.953',-0.105
'0:05.961',-0.085
'0:05.969',-0.095
'0:05.977',-0.085
'0:05.984',-0.085
'0:05.992',-0.085
'0:06.000',-0.085
'0:06.008',-0.075
'0:06.016',-0.105
'0:06.023',-0.075
'0:06.031',-0.075
'0:06.039',-0.075
'0:06.047',-0.075
'0:06.055',-0.075
'0:06.063',-0.085
'0:06.070',-0.075
'0:06.078',-0.075
'0:06.086',-0.075
'0:06.094',-0.065
'0:06.102',-0.075
'0:06.109',-0.065
'0:06.117',-0.065
'0:06.125',-0.055
'0:06.133',-0.055
'0:06.141',-0.065
'0:06.148',-0.075
'0:06.156',-0.055
'0:06.164',-0.055
'0:06.172',-0.055
'0:06.180',-0.055
'0:06.188',-0.055
'0:06.195',-0.055
'0:06.203',-0.055
'0:06.211',-0.055
'0:06.219',-0.035
'0:06.227',-0.065
'0:06.234',-0.035
'0:06.242',-0.045
'0:06.250',-0.055
'0:06.258',-0.065
'0:06.266',-0.055
'0:06.273',-0.045
'0:06.281',-0.055
'0:06.289',-0.045
'0:06.297',-0.055
'0:06.305',-0.055
'0:06.313',-0.045
'0:06.320',-0.045
'0:06.328',-0.045
'0:06.336',-0.045
'0:06.344',-0.025
'0:06.352',-0.005
'0:06.359',-0.015
'0:06.367',-0.025
'0:06.375',-0.005
'0:06.383',-0.045
'0:06.391',-0.055
'0:06.398',-0.045
'0:06.406',-0.035
'0:06.414',-0.025
'0:06.422',-0.025
'0:06.430',-0.025
'0:06.438',-0.025
'0:06.445',-0.035
'0:06.453',-0.065
'0:06.461',-0.055
'0:06.469',-0.025
'0:06.477',-0.035
'0:06.484',-0.025
'0:06.492',-0.025
'0:06.500',-0.025
'0:06.508',-0.035
'0:06.516',-0.025
'0:06.523',0.135
'0:06.531',0.485
'0:06.539',1.115
'0:06.547',1.375
'0:06.555',1.205
'0:06.563',0.565
'0:06.570',-0.075
'0:06.578',-0.485
'0:06.586',-0.435
'0:06.594',-0.375
'0:06.602',-0.415
'0:06.609',-0.435
'0:06.617',-0.355
'0:06.625',-0.225
'0:06.633',-0.075
'0:06.641',-0.085
'0:06.648',-0.095
'0:06.656',-0.085
'0:06.664',-0.065
'0:06.672',-0.055
'0:06.680',-0.065
'0:06.688',-0.075
'0:06.695',-0.045
'0:06.703',-0.085
'0:06.711',-0.045
'0:06.719',-0.055
'0:06.727',-0.035
'0:06.734',-0.035
'0:06.742',-0.035
'0:06.750',-0.025
'0:06.758',-0.015
'0:06.766',-0.035
'0:06.773',-0.015
'0:06.781',-0.015
'0:06.789',0.005
'0:06.797',0.005
'0:06.805',0.035
'0:06.813',0.035
'0:06.820',0.055
'0:06.828',0.055
'0:06.836',0.085
'0:06.844',0.115
'0:06.852',0.145
'0:06.859',0.195
'0:06.867',0.215
'0:06.875',0.255
'0:06.883',0.275
'0:06.891',0.295
'0:06.898',0.325
'0:06.906',0.345
'0:06.914',0.315
'0:06.922',0.345
'0:06.930',0.285
'0:06.938',0.225
'0:06.945',0.165
'0:06.953',0.085
'0:06.961',0.035
'0:06.969',-0.005
'0:06.977',-0.065
'0:06.984',-0.055
'0:06.992',-0.095
'0:07.000',-0.095
'0:07.008',-0.105
'0:07.016',-0.125
'0:07.023',-0.115
'0:07.031',-0.125
'0:07.039',-0.125
'0:07.047',-0.115
'0:07.055',-0.115
'0:07.063',-0.115
'0:07.070',-0.105
'0:07.078',-0.115
'0:07.086',-0.095
'0:07.094',-0.085
'0:07.102',-0.085
'0:07.109',-0.085
'0:07.117',-0.085
'0:07.125',-0.075
'0:07.133',-0.065
'0:07.141',-0.075
'0:07.148',-0.055
'0:07.156',-0.025
'0:07.164',-0.055
'0:07.172',-0.045
'0:07.180',-0.055
'0:07.188',-0.055
'0:07.195',-0.065
'0:07.203',-0.055
'0:07.211',-0.055
'0:07.219',-0.055
'0:07.227',-0.065
'0:07.234',-0.065
'0:07.242',-0.065
'0:07.250',-0.075
'0:07.258',-0.065
'0:07.266',-0.075
'0:07.273',-0.065
'0:07.281',-0.065
'0:07.289',-0.075
'0:07.297',-0.065
'0:07.305',-0.055
'0:07.313',-0.075
'0:07.320',-0.065
'0:07.328',-0.075
'0:07.336',-0.065
'0:07.344',-0.065
'0:07.352',-0.085
'0:07.359',-0.075
'0:07.367',-0.065
'0:07.375',-0.075
'0:07.383',-0.045
'0:07.391',-0.055
'0:07.398',-0.075
'0:07.406',-0.065
'0:07.414',-0.065
'0:07.422',-0.055
'0:07.430',-0.055
'0:07.438',-0.045
'0:07.445',-0.065
'0:07.453',-0.065
'0:07.461',-0.055
'0:07.469',-0.055
'0:07.477',-0.085
'0:07.484',-0.045
'0:07.492',-0.045
'0:07.500',-0.055
'0:07.508',-0.055
'0:07.516',-0.055
'0:07.523',-0.045
'0:07.531',-0.035
'0:07.539',-0.065
'0:07.547',-0.055
'0:07.555',-0.045
'0:07.563',-0.045
'0:07.570',-0.045
'0:07.578',-0.075
'0:07.586',-0.035
'0:07.594',-0.045
'0:07.602',-0.045
'0:07.609',-0.055
'0:07.617',-0.045
'0:07.625',-0.035
'0:07.633',-0.045
'0:07.641',-0.045
'0:07.648',-0.035
'0:07.656',-0.025
'0:07.664',-0.025
'0:07.672',-0.035
'0:07.680',-0.025
'0:07.688',-0.035
'0:07.695',-0.055
'0:07.703',-0.045
'0:07.711',-0.045
'0:07.719',-0.015
'0:07.727',-0.035
'0:07.734',-0.045
'0:07.742',-0.045
'0:07.750',-0.055
'0:07.758',-0.065
'0:07.766',-0.095
'0:07.773',-0.045
'0:07.781',-0.035
'0:07.789',-0.035
'0:07.797',-0.035
'0:07.805',-0.075
'0:07.813',-0.005
'0:07.820',0.145
'0:07.828',0.545
'0:07.836',1.180
'0:07.844',1.505
'0:07.852',1.255
'0:07.859',0.615
'0:07.867',-0.025
'0:07.875',-0.555
'0:07.883',-0.465
'0:07.891',-0.485
'0:07.898',-0.455
'0:07.906',-0.455
'0:07.914',-0.395
'0:07.922',-0.235
'0:07.930',-0.115
'0:07.938',-0.115
'0:07.945',-0.105
'0:07.953',-0.105
'0:07.961',-0.105
'0:07.969',-0.095
'0:07.977',-0.095
'0:07.984',-0.105
'0:07.992',-0.095
'0:08.000',-0.065
'0:08.008',-0.075
'0:08.016',-0.085
'0:08.023',-0.085
'0:08.031',-0.075
'0:08.039',-0.075
'0:08.047',-0.075
'0:08.055',-0.055
'0:08.063',-0.025
'0:08.070',-0.055
'0:08.078',-0.055
'0:08.086',-0.035
'0:08.094',-0.025
'0:08.102',-0.015
'0:08.109',0.005
'0:08.117',0.015
'0:08.125',0.035
'0:08.133',0.045
'0:08.141',0.085
'0:08.148',0.095
'0:08.156',0.135
'0:08.164',0.175
'0:08.172',0.215
'0:08.180',0.235
'0:08.188',0.285
'0:08.195',0.305
'0:08.203',0.305
'0:08.211',0.305
'0:08.219',0.275
'0:08.227',0.275
'0:08.234',0.235
'0:08.242',0.155
'0:08.250',0.085
'0:08.258',0.015
'0:08.266',-0.045
'0:08.273',-0.085
'0:08.281',-0.135
'0:08.289',-0.135
'0:08.297',-0.155
'0:08.305',-0.155
'0:08.313',-0.165
'0:08.320',-0.175
'0:08.328',-0.185
'0:08.336',-0.185
'0:08.344',-0.185
'0:08.352',-0.175
'0:08.359',-0.185
'0:08.367',-0.165
'0:08.375',-0.165
'0:08.383',-0.165
'0:08.391',-0.165
'0:08.398',-0.165
'0:08.406',-0.145
'0:08.414',-0.125
'0:08.422',-0.115
'0:08.430',-0.125
'0:08.438',-0.115
'0:08.445',-0.115
'0:08.453',-0.115
'0:08.461',-0.115
'0:08.469',-0.105
'0:08.477',-0.115
'0:08.484',-0.105
'0:08.492',-0.115
'0:08.500',-0.125
'0:08.508',-0.115
'0:08.516',-0.125
'0:08.523',-0.125
'0:08.531',-0.125
'0:08.539',-0.125
'0:08.547',-0.115
'0:08.555',-0.125
'0:08.563',-0.125
'0:08.570',-0.135
'0:08.578',-0.135
'0:08.586',-0.115
'0:08.594',-0.135
'0:08.602',-0.145
'0:08.609',-0.125
'0:08.617',-0.135
'0:08.625',-0.115
'0:08.633',-0.135
'0:08.641',-0.145
'0:08.648',-0.125
'0:08.656',-0.125
'0:08.664',-0.135
'0:08.672',-0.115
'0:08.680',-0.125
'0:08.688',-0.125
'0:08.695',-0.135
'0:08.703',-0.135
'0:08.711',-0.125
'0:08.719',-0.135
'0:08.727',-0.125
'0:08.734',-0.115
'0:08.742',-0.135
'0:08.750',-0.135
'0:08.758',-0.125
'0:08.766',-0.135
'0:08.773',-0.125
'0:08.781',-0.115
'0:08.789',-0.145
'0:08.797',-0.125
'0:08.805',-0.125
'0:08.813',-0.135
'0:08.820',-0.135
'0:08.828',-0.115
'0:08.836',-0.125
'0:08.844',-0.125
'0:08.852',-0.125
'0:08.859',-0.115
'0:08.867',-0.135
'0:08.875',-0.105
'0:08.883',-0.115
'0:08.891',-0.135
'0:08.898',-0.125
'0:08.906',-0.115
'0:08.914',-0.125
'0:08.922',-0.105
'0:08.930',-0.105
'0:08.938',-0.115
'0:08.945',-0.115
'0:08.953',-0.115
'0:08.961',-0.125
'0:08.969',-0.105
'0:08.977',-0.075
'0:08.984',-0.085
'0:08.992',-0.105
'0:09.000',-0.095
'0:09.008',-0.105
'0:09.016',-0.095
'0:09.023',-0.095
'0:09.031',-0.085
'0:09.039',-0.095
'0:09.047',-0.095
'0:09.055',-0.085
'0:09.063',-0.095
'0:09.070',-0.115
'0:09.078',-0.125
'0:09.086',-0.105
'0:09.094',-0.115
'0:09.102',-0.105
'0:09.109',-0.095
'0:09.117',-0.085
'0:09.125',-0.115
'0:09.133',-0.095
'0:09.141',0.085
'0:09.148',0.505
'0:09.156',1.140
'0:09.164',1.395
'0:09.172',1.115
'0:09.180',0.475
'0:09.188',-0.165
'0:09.195',-0.595
