'Time','ECG'
'[09:20:05.125]',-0.765
'[09:20:05.133]',-0.475
'[09:20:05.141]',-0.335
'[09:20:05.148]',-0.275
'[09:20:05.156]',-0.275
'[09:20:05.164]',-0.265
'[09:20:05.172]',-0.275
'[09:20:05.180]',-0.255
'[09:20:05.188]',-0.245
'[09:20:05.195]',-0.255
'[09:20:05.203]',-0.245
'[09:20:05.211]',-0.245
'[09:20:05.219]',-0.245
'[09:20:05.227]',-0.255
'[09:20:05.234]',-0.235
'[09:20:05.242]',-0.225
'[09:20:05.250]',-0.205
'[09:20:05.258]',-0.215
'[09:20:05.266]',-0.215
'[09:20:05.273]',-0.205
'[09:20:05.281]',-0.195
'[09:20:05.289]',-0.185
'[09:20:05.297]',-0.185
'[09:20:05.305]',-0.175
'[09:20:05.313]',-0.165
'[09:20:05.320]',-0.185
'[09:20:05.328]',-0.175
'[09:20:05.336]',-0.185
'[09:20:05.344]',-0.195
'[09:20:05.352]',-0.175
'[09:20:05.359]',-0.165
'[09:20:05.367]',-0.125
'[09:20:05.375]',-0.115
'[09:20:05.383]',-0.105
'[09:20:05.391]',-0.115
'[09:20:05.398]',-0.105
'[09:20:05.406]',-0.135
'[09:20:05.414]',-0.125
'[09:20:05.422]',-0.135
'[09:20:05.430]',-0.145
'[09:20:05.438]',-0.135
'[09:20:05.445]',-0.135
'[09:20:05.453]',-0.145
'[09:20:05.461]',-0.145
'[09:20:05.469]',-0.145
'[09:20:05.477]',-0.135
'[09:20:05.484]',-0.135
'[09:20:05.492]',-0.115
'[09:20:05.500]',-0.105
'[09:20:05.508]',-0.105
'[09:20:05.516]',-0.105
'[09:20:05.523]',-0.095
'[09:20:05.531]',-0.105
'[09:20:05.539]',-0.095
'[09:20:05.547]',-0.095
'[09:20:05.555]',-0.075
'[09:20:05.563]',-0.065
'[09:20:05.570]',-0.065
'[09:20:05.578]',-0.095
'[09:20:05.586]',-0.075
'[09:20:05.594]',-0.105
'[09:20:05.602]',-0.095
'[09:20:05.609]',-0.105
'[09:20:05.617]',-0.105
'[09:20:05.625]',-0.095
'[09:20:05.633]',-0.105
'[09:20:05.641]',-0.125
'[09:20:05.648]',-0.105
'[09:20:05.656]',-0.115
'[09:20:05.664]',-0.075
'[09:20:05.672]',-0.025
'[09:20:05.680]',-0.015
'[09:20:05.688]',0.005
'[09:20:05.695]',0.015
'[09:20:05.703]',0.085
'[09:20:05.711]',0.075
'[09:20:05.719]',0.015
'[09:20:05.727]',0.005
'[09:20:05.734]',-0.015
'[09:20:05.742]',-0.105
'[09:20:05.750]',-0.085
'[09:20:05.758]',-0.155
'[09:20:05.766]',-0.145
'[09:20:05.773]',-0.125
'[09:20:05.781]',-0.115
'[09:20:05.789]',-0.225
'[09:20:05.797]',0.065
'[09:20:05.805]',0.875
'[09:20:05.813]',1.745
'[09:20:05.820]',2.485
'[09:20:05.828]',1.795
'[09:20:05.836]',-0.025
'[09:20:05.844]',-0.855
'[09:20:05.852]',-0.695
'[09:20:05.859]',-0.475
'[09:20:05.867]',-0.325
'[09:20:05.875]',-0.235
'[09:20:05.883]',-0.215
'[09:20:05.891]',-0.235
'[09:20:05.898]',-0.215
'[09:20:05.906]',-0.225
'[09:20:05.914]',-0.205
'[09:20:05.922]',-0.215
'[09:20:05.930]',-0.205
'[09:20:05.938]',-0.175
'[09:20:05.945]',-0.175
'[09:20:05.953]',-0.175
'[09:20:05.961]',-0.165
'[09:20:05.969]',-0.165
'[09:20:05.977]',-0.165
'[09:20:05.984]',-0.155
'[09:20:05.992]',-0.135
'[09:20:06.000]',-0.115
'[09:20:06.008]',-0.115
'[09:20:06.016]',-0.125
'[09:20:06.023]',-0.115
'[09:20:06.031]',-0.105
'[09:20:06.039]',-0.115
'[09:20:06.047]',-0.105
'[09:20:06.055]',-0.105
'[09:20:06.063]',-0.105
'[09:20:06.070]',-0.125
'[09:20:06.078]',-0.125
'[09:20:06.086]',-0.105
'[09:20:06.094]',-0.085
'[09:20:06.102]',-0.055
'[09:20:06.109]',-0.055
'[09:20:06.117]',-0.035
'[09:20:06.125]',-0.035
'[09:20:06.133]',-0.045
'[09:20:06.141]',-0.055
'[09:20:06.148]',-0.055
'[09:20:06.156]',-0.075
'[09:20:06.164]',-0.065
'[09:20:06.172]',-0.065
'[09:20:06.180]',-0.075
'[09:20:06.188]',-0.065
'[09:20:06.195]',-0.065
'[09:20:06.203]',-0.075
'[09:20:06.211]',-0.065
'[09:20:06.219]',-0.055
'[09:20:06.227]',-0.045
'[09:20:06.234]',-0.035
'[09:20:06.242]',-0.025
'[09:20:06.250]',-0.015
'[09:20:06.258]',-0.015
'[09:20:06.266]',-0.015
'[09:20:06.273]',-0.015
'[09:20:06.281]',-0.015
'[09:20:06.289]',-0.015
'[09:20:06.297]',-0.025
'[09:20:06.305]',-0.015
'[09:20:06.313]',-0.005
'[09:20:06.320]',-0.015
'[09:20:06.328]',-0.025
'[09:20:06.336]',-0.015
'[09:20:06.344]',-0.035
'[09:20:06.352]',-0.025
'[09:20:06.359]',-0.025
'[09:20:06.367]',-0.035
'[09:20:06.375]',-0.015
'[09:20:06.383]',-0.035
'[09:20:06.391]',-0.045
'[09:20:06.398]',-0.015
'[09:20:06.406]',0.025
'[09:20:06.414]',0.035
'[09:20:06.422]',0.045
'[09:20:06.430]',0.075
'[09:20:06.438]',0.125
'[09:20:06.445]',0.095
'[09:20:06.453]',0.055
'[09:20:06.461]',0.055
'[09:20:06.469]',0.015
'[09:20:06.477]',-0.045
'[09:20:06.484]',-0.045
'[09:20:06.492]',-0.085
'[09:20:06.500]',-0.085
'[09:20:06.508]',-0.085
'[09:20:06.516]',-0.075
'[09:20:06.523]',-0.155
'[09:20:06.531]',-0.015
'[09:20:06.539]',0.615
'[09:20:06.547]',1.355
'[09:20:06.555]',2.025
'[09:20:06.563]',1.565
'[09:20:06.570]',-0.075
'[09:20:06.578]',-0.745
'[09:20:06.586]',-0.585
'[09:20:06.594]',-0.395
'[09:20:06.602]',-0.275
'[09:20:06.609]',-0.225
'[09:20:06.617]',-0.225
'[09:20:06.625]',-0.215
'[09:20:06.633]',-0.215
'[09:20:06.641]',-0.225
'[09:20:06.648]',-0.215
'[09:20:06.656]',-0.215
'[09:20:06.664]',-0.215
'[09:20:06.672]',-0.215
'[09:20:06.680]',-0.205
'[09:20:06.688]',-0.185
'[09:20:06.695]',-0.195
'[09:20:06.703]',-0.185
'[09:20:06.711]',-0.175
'[09:20:06.719]',-0.165
'[09:20:06.727]',-0.175
'[09:20:06.734]',-0.165
'[09:20:06.742]',-0.155
'[09:20:06.750]',-0.155
'[09:20:06.758]',-0.135
'[09:20:06.766]',-0.125
'[09:20:06.773]',-0.125
'[09:20:06.781]',-0.115
'[09:20:06.789]',-0.125
'[09:20:06.797]',-0.125
'[09:20:06.805]',-0.115
'[09:20:06.813]',-0.125
'[09:20:06.820]',-0.095
'[09:20:06.828]',-0.095
'[09:20:06.836]',-0.075
'[09:20:06.844]',-0.055
'[09:20:06.852]',-0.075
'[09:20:06.859]',-0.085
