'Time','ECG'
'[11:30:03.563]',-0.315
'[11:30:03.570]',-0.315
'[11:30:03.578]',-0.375
'[11:30:03.586]',-0.655
'[11:30:03.594]',-0.785
'[11:30:03.602]',-0.415
'[11:30:03.609]',0.285
'[11:30:03.617]',0.635
'[11:30:03.625]',0.205
'[11:30:03.633]',-0.335
'[11:30:03.641]',-0.505
'[11:30:03.648]',-0.465
'[11:30:03.656]',-0.365
'[11:30:03.664]',-0.315
'[11:30:03.672]',-0.315
'[11:30:03.680]',-0.325
'[11:30:03.688]',-0.305
'[11:30:03.695]',-0.285
'[11:30:03.703]',-0.295
'[11:30:03.711]',-0.295
'[11:30:03.719]',-0.285
'[11:30:03.727]',-0.255
'[11:30:03.734]',-0.255
'[11:30:03.742]',-0.255
'[11:30:03.750]',-0.205
'[11:30:03.758]',-0.175
'[11:30:03.766]',-0.185
'[11:30:03.773]',-0.155
'[11:30:03.781]',-0.135
'[11:30:03.789]',-0.075
'[11:30:03.797]',-0.035
'[11:30:03.805]',0.015
'[11:30:03.813]',0.055
'[11:30:03.820]',0.095
'[11:30:03.828]',0.105
'[11:30:03.836]',0.115
'[11:30:03.844]',0.095
'[11:30:03.852]',0.075
'[11:30:03.859]',0.025
'[11:30:03.867]',-0.035
'[11:30:03.875]',-0.095
'[11:30:03.883]',-0.155
'[11:30:03.891]',-0.185
'[11:30:03.898]',-0.225
'[11:30:03.906]',-0.235
'[11:30:03.914]',-0.215
'[11:30:03.922]',-0.225
'[11:30:03.930]',-0.225
'[11:30:03.938]',-0.205
'[11:30:03.945]',-0.225
'[11:30:03.953]',-0.215
'[11:30:03.961]',-0.225
'[11:30:03.969]',-0.195
'[11:30:03.977]',-0.165
'[11:30:03.984]',-0.155
'[11:30:03.992]',-0.105
'[11:30:04.000]',-0.065
'[11:30:04.008]',0.005
'[11:30:04.016]',0.005
'[11:30:04.023]',-0.005
'[11:30:04.031]',-0.035
'[11:30:04.039]',-0.065
'[11:30:04.047]',-0.105
'[11:30:04.055]',-0.155
'[11:30:04.063]',-0.245
'[11:30:04.070]',-0.285
'[11:30:04.078]',-0.325
'[11:30:04.086]',-0.345
'[11:30:04.094]',-0.315
'[11:30:04.102]',-0.305
'[11:30:04.109]',-0.565
'[11:30:04.117]',-0.735
'[11:30:04.125]',-0.545
'[11:30:04.133]',0.115
'[11:30:04.141]',0.595
'[11:30:04.148]',0.285
'[11:30:04.156]',-0.265
'[11:30:04.164]',-0.505
'[11:30:04.172]',-0.465
'[11:30:04.180]',-0.395
'[11:30:04.188]',-0.315
'[11:30:04.195]',-0.325
'[11:30:04.203]',-0.325
'[11:30:04.211]',-0.335
'[11:30:04.219]',-0.315
'[11:30:04.227]',-0.295
'[11:30:04.234]',-0.285
'[11:30:04.242]',-0.285
'[11:30:04.250]',-0.265
'[11:30:04.258]',-0.255
'[11:30:04.266]',-0.245
'[11:30:04.273]',-0.245
'[11:30:04.281]',-0.235
'[11:30:04.289]',-0.185
'[11:30:04.297]',-0.175
'[11:30:04.305]',-0.155
'[11:30:04.313]',-0.095
'[11:30:04.320]',-0.045
'[11:30:04.328]',-0.035
'[11:30:04.336]',-0.005
'[11:30:04.344]',0.015
'[11:30:04.352]',0.075
'[11:30:04.359]',0.085
'[11:30:04.367]',0.085
'[11:30:04.375]',0.095
'[11:30:04.383]',0.045
'[11:30:04.391]',-0.015
'[11:30:04.398]',-0.095
'[11:30:04.406]',-0.155
'[11:30:04.414]',-0.205
'[11:30:04.422]',-0.225
'[11:30:04.430]',-0.245
'[11:30:04.438]',-0.245
'[11:30:04.445]',-0.275
'[11:30:04.453]',-0.265
'[11:30:04.461]',-0.285
'[11:30:04.469]',-0.275
'[11:30:04.477]',-0.275
'[11:30:04.484]',-0.275
'[11:30:04.492]',-0.285
'[11:30:04.500]',-0.255
'[11:30:04.508]',-0.235
'[11:30:04.516]',-0.205
'[11:30:04.523]',-0.195
'[11:30:04.531]',-0.175
'[11:30:04.539]',-0.085
'[11:30:04.547]',-0.075
'[11:30:04.555]',-0.065
'[11:30:04.563]',-0.075
'[11:30:04.570]',-0.115
'[11:30:04.578]',-0.155
'[11:30:04.586]',-0.245
'[11:30:04.594]',-0.315
'[11:30:04.602]',-0.355
'[11:30:04.609]',-0.365
'[11:30:04.617]',-0.365
'[11:30:04.625]',-0.365
'[11:30:04.633]',-0.395
'[11:30:04.641]',-0.595
'[11:30:04.648]',-0.765
'[11:30:04.656]',-0.585
'[11:30:04.664]',0.065
'[11:30:04.672]',0.605
'[11:30:04.680]',0.355
'[11:30:04.688]',-0.175
'[11:30:04.695]',-0.505
'[11:30:04.703]',-0.555
'[11:30:04.711]',-0.535
'[11:30:04.719]',-0.425
'[11:30:04.727]',-0.395
'[11:30:04.734]',-0.395
'[11:30:04.742]',-0.375
'[11:30:04.750]',-0.365
'[11:30:04.758]',-0.365
'[11:30:04.766]',-0.345
'[11:30:04.773]',-0.355
'[11:30:04.781]',-0.345
'[11:30:04.789]',-0.325
'[11:30:04.797]',-0.325
'[11:30:04.805]',-0.285
'[11:30:04.813]',-0.255
'[11:30:04.820]',-0.255
'[11:30:04.828]',-0.225
'[11:30:04.836]',-0.195
'[11:30:04.844]',-0.145
'[11:30:04.852]',-0.095
'[11:30:04.859]',-0.055
'[11:30:04.867]',0.005
'[11:30:04.875]',0.025
'[11:30:04.883]',0.055
'[11:30:04.891]',0.085
'[11:30:04.898]',0.065
'[11:30:04.906]',0.045
'[11:30:04.914]',-0.005
'[11:30:04.922]',-0.055
'[11:30:04.930]',-0.125
'[11:30:04.938]',-0.175
'[11:30:04.945]',-0.215
'[11:30:04.953]',-0.225
'[11:30:04.961]',-0.265
'[11:30:04.969]',-0.265
'[11:30:04.977]',-0.265
'[11:30:04.984]',-0.265
'[11:30:04.992]',-0.255
'[11:30:05.000]',-0.255
'[11:30:05.008]',-0.255
'[11:30:05.016]',-0.265
'[11:30:05.023]',-0.255
'[11:30:05.031]',-0.225
'[11:30:05.039]',-0.185
'[11:30:05.047]',-0.175
'[11:30:05.055]',-0.115
'[11:30:05.063]',-0.095
'[11:30:05.070]',-0.035
'[11:30:05.078]',-0.035
'[11:30:05.086]',-0.025
'[11:30:05.094]',-0.045
'[11:30:05.102]',-0.065
'[11:30:05.109]',-0.105
'[11:30:05.117]',-0.165
'[11:30:05.125]',-0.225
'[11:30:05.133]',-0.285
'[11:30:05.141]',-0.295
'[11:30:05.148]',-0.325
'[11:30:05.156]',-0.325
'[11:30:05.164]',-0.335
'[11:30:05.172]',-0.515
'[11:30:05.180]',-0.775
'[11:30:05.188]',-0.615
'[11:30:05.195]',0.045
'[11:30:05.203]',0.635
'[11:30:05.211]',0.385
'[11:30:05.219]',-0.195
'[11:30:05.227]',-0.485
'[11:30:05.234]',-0.465
'[11:30:05.242]',-0.405
'[11:30:05.250]',-0.325
'[11:30:05.258]',-0.305
'[11:30:05.266]',-0.325
'[11:30:05.273]',-0.325
'[11:30:05.281]',-0.335
'[11:30:05.289]',-0.295
'[11:30:05.297]',-0.305
'[11:30:05.305]',-0.295
'[11:30:05.313]',-0.265
'[11:30:05.320]',-0.265
'[11:30:05.328]',-0.245
'[11:30:05.336]',-0.235
'[11:30:05.344]',-0.245
'[11:30:05.352]',-0.205
'[11:30:05.359]',-0.185
'[11:30:05.367]',-0.165
'[11:30:05.375]',-0.105
'[11:30:05.383]',-0.055
'[11:30:05.391]',-0.025
'[11:30:05.398]',0.035
'[11:30:05.406]',0.065
'[11:30:05.414]',0.105
'[11:30:05.422]',0.105
'[11:30:05.430]',0.115
'[11:30:05.438]',0.115
'[11:30:05.445]',0.065
'[11:30:05.453]',0.015
'[11:30:05.461]',-0.045
'[11:30:05.469]',-0.105
'[11:30:05.477]',-0.145
'[11:30:05.484]',-0.175
'[11:30:05.492]',-0.195
'[11:30:05.500]',-0.185
'[11:30:05.508]',-0.185
'[11:30:05.516]',-0.215
'[11:30:05.523]',-0.205
'[11:30:05.531]',-0.225
'[11:30:05.539]',-0.185
'[11:30:05.547]',-0.175
'[11:30:05.555]',-0.185
'[11:30:05.563]',-0.165
'[11:30:05.570]',-0.135
'[11:30:05.578]',-0.115
'[11:30:05.586]',-0.085
'[11:30:05.594]',-0.075
'[11:30:05.602]',-0.005
'[11:30:05.609]',0.045
'[11:30:05.617]',0.015
'[11:30:05.625]',0.045
'[11:30:05.633]',-0.005
'[11:30:05.641]',-0.055
'[11:30:05.648]',-0.105
'[11:30:05.656]',-0.175
'[11:30:05.664]',-0.235
'[11:30:05.672]',-0.265
'[11:30:05.680]',-0.275
'[11:30:05.688]',-0.265
'[11:30:05.695]',-0.255
'[11:30:05.703]',-0.385
'[11:30:05.711]',-0.685
'[11:30:05.719]',-0.655
'[11:30:05.727]',-0.015
'[11:30:05.734]',0.675
'[11:30:05.742]',0.555
'[11:30:05.750]',-0.085
'[11:30:05.758]',-0.405
'[11:30:05.766]',-0.375
'[11:30:05.773]',-0.295
'[11:30:05.781]',-0.265
'[11:30:05.789]',-0.235
'[11:30:05.797]',-0.245
'[11:30:05.805]',-0.235
'[11:30:05.813]',-0.235
'[11:30:05.820]',-0.205
'[11:30:05.828]',-0.195
'[11:30:05.836]',-0.205
'[11:30:05.844]',-0.205
'[11:30:05.852]',-0.175
'[11:30:05.859]',-0.145
'[11:30:05.867]',-0.115
'[11:30:05.875]',-0.105
'[11:30:05.883]',-0.085
'[11:30:05.891]',-0.065
'[11:30:05.898]',-0.035
'[11:30:05.906]',0.005
'[11:30:05.914]',0.055
'[11:30:05.922]',0.095
'[11:30:05.930]',0.145
'[11:30:05.938]',0.205
'[11:30:05.945]',0.215
'[11:30:05.953]',0.215
'[11:30:05.961]',0.215
'[11:30:05.969]',0.205
'[11:30:05.977]',0.175
'[11:30:05.984]',0.125
'[11:30:05.992]',0.065
'[11:30:06.000]',0.005
'[11:30:06.008]',-0.025
'[11:30:06.016]',-0.075
'[11:30:06.023]',-0.095
'[11:30:06.031]',-0.095
'[11:30:06.039]',-0.075
'[11:30:06.047]',-0.075
'[11:30:06.055]',-0.055
'[11:30:06.063]',-0.075
'[11:30:06.070]',-0.075
'[11:30:06.078]',-0.085
'[11:30:06.086]',-0.075
'[11:30:06.094]',-0.075
'[11:30:06.102]',-0.055
'[11:30:06.109]',-0.045
'[11:30:06.117]',-0.015
'[11:30:06.125]',-0.005
'[11:30:06.133]',0.025
'[11:30:06.141]',0.065
'[11:30:06.148]',0.105
'[11:30:06.156]',0.125
'[11:30:06.164]',0.125
'[11:30:06.172]',0.095
'[11:30:06.180]',0.045
'[11:30:06.188]',0.005
'[11:30:06.195]',-0.055
'[11:30:06.203]',-0.105
'[11:30:06.211]',-0.175
'[11:30:06.219]',-0.185
'[11:30:06.227]',-0.195
'[11:30:06.234]',-0.185
'[11:30:06.242]',-0.215
'[11:30:06.250]',-0.475
'[11:30:06.258]',-0.585
'[11:30:06.266]',-0.275
'[11:30:06.273]',0.385
'[11:30:06.281]',0.705
'[11:30:06.289]',0.315
'[11:30:06.297]',-0.165
'[11:30:06.305]',-0.325
'[11:30:06.313]',-0.295
'[11:30:06.320]',-0.235
'[11:30:06.328]',-0.175
'[11:30:06.336]',-0.175
'[11:30:06.344]',-0.155
'[11:30:06.352]',-0.155
'[11:30:06.359]',-0.145
'[11:30:06.367]',-0.135
'[11:30:06.375]',-0.125
'[11:30:06.383]',-0.105
'[11:30:06.391]',-0.095
'[11:30:06.398]',-0.105
'[11:30:06.406]',-0.095
'[11:30:06.414]',-0.075
'[11:30:06.422]',-0.055
'[11:30:06.430]',-0.015
'[11:30:06.438]',0.015
'[11:30:06.445]',0.035
'[11:30:06.453]',0.075
'[11:30:06.461]',0.105
'[11:30:06.469]',0.155
'[11:30:06.477]',0.195
'[11:30:06.484]',0.225
'[11:30:06.492]',0.245
'[11:30:06.500]',0.285
'[11:30:06.508]',0.295
'[11:30:06.516]',0.255
'[11:30:06.523]',0.225
'[11:30:06.531]',0.155
'[11:30:06.539]',0.105
'[11:30:06.547]',0.055
'[11:30:06.555]',0.005
'[11:30:06.563]',-0.015
'[11:30:06.570]',-0.045
'[11:30:06.578]',-0.055
'[11:30:06.586]',-0.045
'[11:30:06.594]',-0.055
'[11:30:06.602]',-0.035
'[11:30:06.609]',-0.045
'[11:30:06.617]',-0.055
'[11:30:06.625]',-0.035
'[11:30:06.633]',-0.055
'[11:30:06.641]',-0.035
'[11:30:06.648]',-0.035
'[11:30:06.656]',-0.025
'[11:30:06.664]',0.015
'[11:30:06.672]',0.045
'[11:30:06.680]',0.075
'[11:30:06.688]',0.135
'[11:30:06.695]',0.175
'[11:30:06.703]',0.175
'[11:30:06.711]',0.155
'[11:30:06.719]',0.105
'[11:30:06.727]',0.085
'[11:30:06.734]',0.025
'[11:30:06.742]',-0.045
'[11:30:06.750]',-0.075
'[11:30:06.758]',-0.115
'[11:30:06.766]',-0.155
'[11:30:06.773]',-0.155
'[11:30:06.781]',-0.135
'[11:30:06.789]',-0.235
'[11:30:06.797]',-0.505
'[11:30:06.805]',-0.495
'[11:30:06.813]',-0.025
'[11:30:06.820]',0.555
'[11:30:06.828]',0.605
'[11:30:06.836]',0.135
'[11:30:06.844]',-0.255
'[11:30:06.852]',-0.295
'[11:30:06.859]',-0.255
'[11:30:06.867]',-0.185
'[11:30:06.875]',-0.145
'[11:30:06.883]',-0.145
'[11:30:06.891]',-0.135
'[11:30:06.898]',-0.125
'[11:30:06.906]',-0.135
'[11:30:06.914]',-0.115
'[11:30:06.922]',-0.105
'[11:30:06.930]',-0.115
'[11:30:06.938]',-0.075
'[11:30:06.945]',-0.045
'[11:30:06.953]',-0.055
'[11:30:06.961]',-0.025
'[11:30:06.969]',-0.015
'[11:30:06.977]',0.005
'[11:30:06.984]',0.025
